T1_ET_Intensity_MeanAbsoluteDeviation,T1_ET_Intensity_Variance,T1_ET_Histogram_Bins-16_Bins-16_Bin-0_Frequency,T1_ET_Histogram_Bins-16_Bins-16_Bin-5_Probability,T1_ET_Histogram_Bins-16_Bins-16_Bin-7_Probability,T1_ET_Histogram_Bins-16_Bins-16_InterQuartileRange,T1_ET_Histogram_Bins-16_Bins-16_MedianAbsoluteDeviation,T1_ET_Morphologic_Flatness,T1_ET_Morphologic_Roundness,T1_ET_GLCM_Bins-16_Radius-1_AutoCorrelation,T1_ET_NGTDM_Complexity,T1GD_ET_Intensity_Mode,T1GD_ET_Histogram_Bins-16_Bins-16_Bin-11_Probability,T1GD_ET_Histogram_Bins-16_Bins-16_Bin-1_Frequency,T1GD_ET_Morphologic_Flatness,T1GD_ET_Morphologic_Roundness,T1GD_ET_GLRLM_Bins-16_Radius-1_ShortRunEmphasis,T1GD_ET_GLSZM_Bins-16_Radius-1_LowGreyLevelEmphasis,T1GD_ET_GLSZM_Bins-16_Radius-1_SmallZoneLowGreyLevelEmphasis,T1GD_ET_GLSZM_Bins-16_Radius-1_ZoneSizeEntropy,T1GD_ET_GLSZM_Bins-16_Radius-1_ZoneSizeNoneUniformityNormalized,T2_ET_Intensity_StandardDeviation,T2_ET_Histogram_Bins-16_Bins-16_Bin-15_Frequency,T2_ET_Histogram_Bins-16_Bins-16_Bin-2_Probability,T2_ET_Histogram_Bins-16_Bins-16_Bin-4_Frequency,T2_ET_Histogram_Bins-16_Bins-16_MedianAbsoluteDeviation,T2_ET_Histogram_Bins-16_Bins-16_NinetyFifthPercentile,T2_ET_Histogram_Bins-16_Bins-16_NinetyFifthPercentileMean,T2_ET_Histogram_Bins-16_Bins-16_SeventyFifthPercentile,T2_ET_Morphologic_Flatness,T2_ET_Morphologic_Roundness,T2_ET_GLRLM_Bins-16_Radius-1_ShortRunEmphasis,T2_ET_GLSZM_Bins-16_Radius-1_GreyLevelNonUniformity,T2_ET_GLSZM_Bins-16_Radius-1_GreyLevelNonUniformityNormalized,T2_ET_GLSZM_Bins-16_Radius-1_GreyLevelVariance,T2_ET_GLSZM_Bins-16_Radius-1_SmallZoneEmphasis,T2_ET_GLSZM_Bins-16_Radius-1_ZoneSizeNonUniformity
-3.818650845e-12,176.1394796,6,0.03889300717,0.233135656,2,-0.1823820114,1.254552153,0.2453610724,7419.754134,1055.109547,116,0.007981220657,403,1.254552153,0.2453610724,0.9993699388,0.07235427114,0.04987716349,5.803018037,0.3170179259,17.79237849,1,0.007388188782,5237,-0.4221398567,130.32099,144.1008919,6,1.254552153,0.2453610724,0.9710097359,125.0253378,0.1055957245,7.469006089,0.5539824495,342.3834459
8.235609295000001e-14,243.131544,7,0.1051023526,0.1780222019,3,0.5435380385,1.284919298,0.451359837,14890.68812,930.3379742,90,0.05815256136,49,1.284919298,0.451359837,0.9942177034,0.04441746856,0.02733307571,6.206120577,0.2643749835,22.68277999,18,0.01904470924,542,0.1784295753,165.7633976,175.6752475,9,1.284919298,0.451359837,0.9641109186,25.04790419,0.07499372512,16.83082936,0.5071468301,81.38323353
1.905735727e-12,159.5462276,2,0.005656201328,0.07750635298,3,-0.3081809984,1.367222167,0.4300828602,15812.67882,1395.882501,93,0.04488072793,169,1.367222167,0.4300828602,0.9981837632,0.05145838445,0.03033822078,6.216188268,0.2663877377,21.03085539,24,0.002377244036,369,0.1482498565,147.0000195,157.6035329,9,1.367222167,0.4300828602,0.9773031097,49.7904,0.07966464,12.71830016,0.5120136517,156.1584
-5.544855433e-13,254.9718839,2,0.06958681596,0.2397098249,3,0.5236950008,1.156198602,0.1990100744,8014.794013,1004.719918,105,0.01466645639,280,1.156198602,0.1990100744,0.9968045648,0.05998489098,0.03712583123,6.144932274,0.2880543019,23.14067458,6,0.03071282132,3967,-0.2186169374,157.8117297,169.268901,7,1.156198602,0.1990100744,0.9832103875,115.9563253,0.08731651002,10.26715541,0.4768130339,292.0527108
5.0500890020000006e-14,327.1692456,5,0.01696594427,0.08594427245,3,-0.6508978328,1.111835871,0.4746039252,15043.60905,1289.240872,118,0.02340557276,10,1.111835871,0.4746039252,0.988049321,0.04363534357,0.02555731532,5.785740616,0.2962143296,16.98403307,7,0.0007430340557,62,-0.4193188854,145.8796625,155.3710526,10,1.111835871,0.4746039252,0.9401663268,26.18021201,0.09250958309,9.875014047,0.4547629741,57.79151943
3.45431349e-12,567.8566516,28,0.1483141688,0.1528802517,3,0.4558008742,1.077038163,0.3100563307,14919.09121,788.9252251,101,0.05106217112,421,1.077038163,0.3100563307,0.9995477116,0.04860218967,0.02910412114,6.299675556,0.278215191,26.27851686,14,0.008074171005,3215,0.4016760865,168.7215287,182.3179458,7,1.077038163,0.3100563307,0.9848682822,82.90515464,0.08546923159,10.38592943,0.51225565,241.1814433
1.376853178e-12,335.0328795,1,0.002773009375,0.02469298825,3,0.415291166,1.220303298,0.243589163,14591.16695,1171.980121,85,0.05519609138,0,1.220303298,0.243589163,0.9882984734,0.02325791871,0.01421835375,5.881232829,0.2958154596,24.72710346,28,0.00455565826,204,0.3521061666,153.051876,160.5714286,11,1.220303298,0.243589163,0.9656618633,71.25154131,0.08785640112,10.81363679,0.5152198997,206.5388409
3.315442463e-13,308.2948977,3,9.125752875e-05,0.01377988684,1,-0.5295674393,1.180327695,0.3403569553,9155.520297,882.0935054,100,0.08185800329,0,1.180327695,0.3403569553,0.9918763881,0.02284738246,0.01467032276,5.69837846,0.2887940745,18.44325719,11,0.0001825150575,12,0.05977368133,136.6429004,150.9254302,9,1.180327695,0.3403569553,0.9456357843,48.0990099,0.1190569552,7.606460151,0.5102721381,100.1435644
6.166974688e-15,27.09110512,1,0.08490566038,0.141509434,4,0.03773584906,1.205608461,0.7775536107,7849.283456,700.8588493,72,0.05660377358,5,1.205608461,0.7775536107,0.9383155066,0.08417574261,0.06747561881,4.968209841,0.3314346743,7.035048951,4,0.01886792453,5,-0.05660377358,89.57660259,91.2,12,1.205608461,0.7775536107,0.8523234538,2.722222222,0.07561728395,17.38580247,0.4649759508,8.222222222
-1.665230875e-15,317.7855197,5,0.1428571429,0.1454248366,3,0.6690009337,1.346716787,0.4156940129,14027.18363,810.6511156,62,0.005135387488,525,1.346716787,0.4156940129,0.9761217456,0.1094694544,0.07303547364,5.973594725,0.2873661439,11.56933881,3,0.03034547152,586,-0.1514939309,142.1649743,149.9950249,7,1.346716787,0.4156940129,0.9759015215,37.12048193,0.0894469444,10.08231093,0.4697284696,89.19277108
