FLAIR_ED_Intensity_Variance,FLAIR_ED_Histogram_Bins-16_Bins-16_Bin-2_Frequency,FLAIR_ED_Histogram_Bins-16_Bins-16_Bin-5_Probability,FLAIR_ED_Histogram_Bins-16_Bins-16_Bin-7_Probability,FLAIR_ED_Histogram_Bins-16_Bins-16_Bin-8_Probability,FLAIR_ED_Histogram_Bins-16_Bins-16_NinetyFifthPercentileMean,FLAIR_ED_GLSZM_Bins-16_Radius-1_SmallZoneEmphasis,FLAIR_ED_GLSZM_Bins-16_Radius-1_ZoneSizeNoneUniformityNormalized,T1_ED_Intensity_Maximum,T1_ED_Intensity_MedianAbsoluteDeviation,T1_ED_Histogram_Bins-16_Bins-16_Bin-1_Probability,T1_ED_Histogram_Bins-16_Bins-16_Bin-2_Frequency,T1_ED_Histogram_Bins-16_Bins-16_Bin-3_Frequency,T1_ED_Histogram_Bins-16_Bins-16_InterQuartileRange,T1_ED_Histogram_Bins-16_Bins-16_MedianAbsoluteDeviation,T1_ED_GLSZM_Bins-16_Radius-1_GreyLevelNonUniformity,T1_ED_GLSZM_Bins-16_Radius-1_LargeZoneHighGreyLevelEmphasis,T1_ED_NGTDM_Complexity,T1GD_ED_Intensity_MeanAbsoluteDeviation,T1GD_ED_Histogram_Bins-16_Bins-16_Bin-0_Frequency,T1GD_ED_Histogram_Bins-16_Bins-16_Bin-0_Probability,T1GD_ED_Histogram_Bins-16_Bins-16_Bin-15_Frequency,T1GD_ED_Histogram_Bins-16_Bins-16_Bin-15_Probability,T1GD_ED_Histogram_Bins-16_Bins-16_Bin-4_Probability,T1GD_ED_Histogram_Bins-16_Bins-16_CoefficientOfVariation,T1GD_ED_Histogram_Bins-16_Bins-16_Mode,T1GD_ED_Histogram_Bins-16_Bins-16_QuartileCoefficientOfVariation,T1GD_ED_GLCM_Bins-16_Radius-1_ClusterProminence,T1GD_ED_GLSZM_Bins-16_Radius-1_ZoneSizeEntropy,T2_ED_Intensity_MeanAbsoluteDeviation,T2_ED_Intensity_Mode,T2_ED_Intensity_Range,T2_ED_Histogram_Bins-16_Bins-16_Bin-8_Probability,T2_ED_Histogram_Bins-16_Bins-16_MedianAbsoluteDeviation,T2_ED_GLCM_Bins-16_Radius-1_Homogeneity,T2_ED_GLRLM_Bins-16_Radius-1_ShortRunEmphasis,T2_ED_GLSZM_Bins-16_Radius-1_GreyLevelNonUniformity
363.6384747,2400,0.181139993,0.02789757936,0.0114232428,143.9239766,0.5698351925,0.3058602098,178,0.3283988033,0.0001165637021,22,56,3,0.504176866,176.8751983,2558602.502,1123.384095,-3.849028524e-14,2,7.770913471e-05,2,7.770913471e-05,0.4171037805,0.2185594561,4,0.1111111111,26.18233518,5.106838906,1.061355439e-13,78,189,0.004157438707,0.4485759801,0.7425446648,0.9703759271,110.7878427
1002.713119,25,0.006937901499,0.06022191941,0.08767763286,225.4685454,0.5427862488,0.2803538056,201,0.7365933424,0.0,1,3,2,0.4960794238,264.2828194,139727264.4,1178.626681,-3.03185025e-12,161,0.00125364999,1,7.786645902e-06,0.3344831614,0.2183859514,3,0.1428571429,12.52613608,4.980206585,-1.180446266e-12,149,215,0.1233794043,-0.6374927,0.7173416043,0.9742804418,209.5519481
453.5167833,622,0.2400311144,0.106730533,0.06120527307,180.8655319,0.5734639039,0.3098735276,213,1.078236306,0.0004912797838,21,164,3,0.563579792,133.1658327,1615838.902,987.1574631,-1.671573167e-13,3,0.000122819946,1,4.093998199e-05,0.3627691804,0.2661630662,3,0.1428571429,20.88312381,5.021360522,-7.512100061e-15,100,134,0.1140178498,0.2829362155,0.6590425946,0.9956244702,70.41252006
486.4983483,823,0.2170471643,0.09936547393,0.03695950808,164.8122449,0.5124829157,0.2494028298,219,1.253221692,0.002943677635,99,319,4,-0.08353502976,111.4732577,324387.2123,974.5198076,8.144445629000001e-14,8,0.0005233204684,5,0.0003270752927,0.1611172892,0.2862564346,5,0.09090909091,195.8641428,5.732921675,-5.020251457e-13,84,180,0.01406423759,0.6370772552,0.6748267211,0.996152054,73.14414414
910.7979696,0,0.001166929226,0.03821693214,0.07981795904,231.0186047,0.4842781454,0.2296409037,246,0.6282163487,0.0,0,0,2,-0.132679853,128.14565,18216307.24,919.7348222,2.683130261e-12,1,2.917323064e-05,1,2.917323064e-05,0.0408425229,0.2168909082,6,0.07692307692,150.0962566,5.412086679,5.047557292e-12,64,194,0.1050819768,-0.1376101289,0.6731011277,0.9826959244,103.6785714
673.5128807,25,0.02419393659,0.1109859535,0.125186533,196.2312012,0.5288026223,0.2654616579,209,-0.2226554602,3.851004631e-05,8,39,2,-0.2025532161,217.135412,66738995.64,1203.761495,-8.606373211e-13,37,0.0003562179284,3,2.888253473e-05,0.3381374616,0.3187611602,4,0.25,89.90892473,5.455941157,1.835533231e-12,121,202,0.1478400678,0.1099172997,0.703598094,0.9854378242,206.2573099
1593.156962,670,0.09031897034,0.08841634024,0.08628987129,228.2440605,0.5266841396,0.2667770712,203,0.1681029659,0.000223838836,43,138,3,0.2775601567,53.18211382,1019447.533,1049.212535,-2.093059295e-15,3,0.0003357582541,1,0.000111919418,0.2904308898,0.3215097331,3,0.1428571429,63.50984657,4.845744569,9.780948792e-13,81,161,0.04118634583,0.5519865697,0.6137880775,0.9637353904,29.74637681
870.5083188,741,0.1276877084,0.09261814419,0.06749453835,172.5307692,0.5646947775,0.295898095,219,2.827929171,0.01402782569,1050,2127,3,0.6226859837,84.70561798,735175.909,725.3543905,-1.389516688e-13,32,0.001839714844,1,5.749108888e-05,0.2071978843,0.4274993207,4,0.25,268.9476416,5.617392946,5.824563169e-13,83,115,0.06760952052,0.4981602852,0.5381919001,0.9964982107,71.10084034
343.3648592,75,0.219905919,0.2351348607,0.1350637923,163.0921053,0.5542239473,0.2899033291,203,2.075400183,0.001928999289,269,1008,3,-0.07871670784,161.4592208,2297671.122,865.9298416,6.082177527e-13,16,0.0005414734847,4,0.0001353683712,0.2486378558,0.2254039752,5,0.1111111111,57.29330422,5.303708588,6.048132841e-13,87,142,0.003824156486,0.09617922772,0.7374276284,0.9808577293,99.71325301
728.116314,55,0.03816898585,0.1015940668,0.1038306133,238.5357873,0.5774565787,0.3121349982,231,1.550401418,0.005517517855,1411,4210,3,0.3948348437,124.8137931,40401894.64,831.4421332,-2.058829604e-12,20,0.0002109949467,81,0.000854529534,0.05685258838,0.3114398986,7,0.2,859.9512279,5.999952768,-2.794813921e-12,124,169,0.1240650286,0.0702085685,0.6104759153,0.9965071647,154.0244275
664.4721884,203,0.02871624787,0.04775423014,0.06421571383,192.0755041,0.5395434466,0.2753025168,214,0.6498585268,0.005480915172,4486,9650,3,-0.1838776772,218.8262256,26462293.39,781.6681142,2.266047496e-12,38,0.0003560252591,1,9.369085765e-06,0.2002079937,0.3088522853,3,0.2,21.7177655,5.17533923,5.308863981e-12,136,155,0.1648771713,0.007926246557,0.6815535725,0.9878665868,125.5926558
238.6961205,82,0.3009448143,0.1578269272,0.06715696801,120.2619048,0.5556116155,0.2945882931,219,1.348722353,0.000536826283,44,146,2,-0.23223105,82.94407159,3774673.826,1018.593964,2.042829437e-13,19,0.001019969938,1,5.36826283e-05,0.1797294396,0.3215163487,3,0.2,49.76368203,5.208278829,-2.726839345e-13,80,195,0.04928065278,0.4572149452,0.7045286965,0.97583851,65.39625585
339.0707907,51,0.1265984308,0.2196942959,0.1912686993,154.7013601,0.5843339153,0.3200961163,196,2.62821383,5.429913393e-05,10,99,3,0.6678521978,106.3595004,10284656.17,994.8598169,-4.430541551e-13,29,0.000787337442,1,2.714956696e-05,0.2316944045,0.3387704045,3,0.3333333333,36.28242956,4.971021125,-3.11879127e-12,103,124,0.1249423072,0.2138299894,0.7026004738,0.9828464061,74.58064516
553.8858955,2880,0.1200805369,0.1930201342,0.1246442953,183.2616562,0.5655692699,0.3025141704,242,3.145798658,0.0001342281879,56,1181,2,0.232966443,91.15,10497502.59,853.9561294,1.610358796e-13,32,0.0008590604027,5,0.0001342281879,0.3355436242,0.3419363044,4,0.25,152.8569655,5.641112732,1.707844115e-12,124,150,0.1322147651,-0.1427919463,0.6161456678,0.9786677686,44.826742
367.37206,1225,0.1235543844,0.03601229688,0.020787586,173.6521739,0.5507359904,0.2838841105,222,-2.500365979,0.001463914507,18,40,2,-0.3198653199,55.54545455,775855.9125,1634.568899,9.042543061000001e-14,9,0.001317523057,1,0.0001463914507,0.08739569609,0.2214613157,6,0.09090909091,115.0587049,5.214186536,4.521968447e-13,56,164,0.00790513834,0.7119016249,0.8334946562,0.892853118,33.02090592
760.9310007,1190,0.1048241405,0.1553237735,0.1770027663,190.7851687,0.5290557401,0.2667471035,228,1.728179868,0.0006492406707,342,2443,3,-0.3030542539,150.0594775,19193482.08,871.8597499,2.065343311e-12,16,0.000225822842,2,2.822785525e-05,0.2633658895,0.310217734,4,0.2,133.1679911,5.694324229,6.859891579e-12,122,172,0.144300796,-0.620123638,0.6868208236,0.99449142,109.8463158
